Date,Pump_price,Crude_cost,Fed_car_tax,Ont_tax,GST_HST,Who_Marg,Ret_marg,Ret_sales
6/1/2021,132.9,53,8.8,14.7,15.3,24.4,6.7,9606791
7/1/2021,136.6,56.5,8.8,14.7,15.7,23.6,7.3,10023604
8/1/2021,137.1,52.7,8.8,14.7,15.8,28.7,6.4,10493249
9/1/2021,137.5,56.1,8.8,14.7,15.8,25.6,6.4,9968835
10/1/2021,144.9,63,8.8,14.7,16.7,23.8,7.8,10271068
11/1/2021,142.1,61,8.8,14.7,16.3,26.4,4.8,10505952
12/1/2021,137.3,54.1,8.8,14.7,15.8,27.7,6.2,10561456
1/1/2022,145.8,62.9,8.8,14.7,16.8,26,6.6,10983058
2/1/2022,158.3,73.1,8.8,14.7,18.2,25.2,8.3,11187593
3/1/2022,176.1,87.2,8.8,14.7,20.3,23.2,11.9,11116464
4/1/2022,173.3,83.8,11.1,14.7,19.9,24.5,9.2,11171305
5/1/2022,198.7,90.6,11.1,14.7,22.9,40.5,9.1,11340314
6/1/2022,207.2,95.3,11.1,14.7,23.8,44.7,7.6,11963393
7/1/2022,180.5,84.8,11.1,9,20.8,37,7.9,11009121
8/1/2022,166.1,76.5,11.1,9,19.1,31.8,8.6,11042276
9/1/2022,147.1,71,11.1,9,16.9,21.8,7.4,11176432
10/1/2022,163.8,71,11.1,9,18.8,37.8,6.2,11181512
11/1/2022,160.8,67.5,11.1,9,18.5,38.2,6.6,11106455
12/1/2022,140.3,61.9,11.1,9,16.1,23.8,8.4,11089462
1/1/2023,148.7,63,11.1,9,17.1,30.6,7.9,11027633
2/1/2023,142.8,64.6,11.1,9,16.4,25,6.8,11187228
3/1/2023,145.9,63.5,11.1,9,16.8,26.8,8.7,10954675
4/1/2023,155,69.6,14.3,9,17.8,25.9,8.3,11144775
5/1/2023,155.6,62.1,14.3,9,17.9,33.5,8.8,11210350
6/1/2023,159.6,61.8,14.3,9,18.4,36.9,9.2,11326744
7/1/2023,163.4,65,14.3,9,18.8,37,9.3,11253749
8/1/2023,169.8,69.4,14.3,9,19.5,37.4,10.2,11217067
9/1/2023,166,73.8,14.3,9,19.1,31.5,8.3,11152048
10/1/2023,152.8,68.8,14.3,9,17.6,24.1,9.1,11149874
11/1/2023,147.5,61.2,14.3,9,17,27.8,8.2,11399162
12/1/2023,143.3,57.1,14.3,9,16.5,28,8.4,11468428
